Descrição produto;Preço;Código de barras;
HALLS EXTRA MENTA 27,5G;RR$ 2,50;78938830;
BALA CEREJA HALLS PACOTE 28G;RR$ 2,50;78938793;
BISCOITO RECHEADO MORANGO PASSATEMPO PACOTE 130G;RR$ 4,60;7891000241295;
BOLACHA OREO CHOCOLATE 90G;RR$ 8,40;7622300873554;
BISCOITO RECHEADO CHOCOLATE PASSATEMPO PACOTE 130G;RR$ 4,60;7891000241356;
SALGADINHO DE MILHO QUEIJO NACHO DORITOS PACOTE 84G;RR$ 11,80;7892840815912;
PIPOCA PARA MICRO-ONDAS COM SAL COBERTURA MANTEIGA YOKI PACOTE 105G;RR$ 7,20;7891095911479;
QUEIJO RALADO FINO IPANEMA 40G;RR$ 7,20;7896114101817;
REQUEIJÃO SULMINAS 200G;RR$ 7,90;7896825400841;
SUCO MARACUJA MARATA CAIXA 1L;RR$ 7,50;7898378180072;
SUCO ABACAXI NUTRINECTAR CAIXA 1L;RR$ 6,80;7898920195813;
VINHO CHILENO CABERNET SAUVIGNON TARAPACÁ COSECHA  750ML;RR$ 42,40;7804340808011;
PAPEL ALUMINIO PACK PANELUX 28CMX7.5;RR$ 5,50;7898701030111;
VINHO SAN MARTIN TINTO SECO 750ML;RR$ 16,90;7896267701650;
PÃO DE LEITE SEVEN BOYS PACOTE 450G;RR$ 10,20;7891193010081;
SALGADINHO PARMESAO CHEETOS 50G;RR$ 5,90;7892840817909;
VINHO CHILENO CABERNET CHILANO 750ML;RR$ 33,90;7804641500010;
SALGADINHO DE BATATA QUEIJO PRINGLES TUBO 109G;RR$ 14,90;7896004006284;
SALGADINHO DE BATATA CHURRASCO PRINGLES TUBO 109G;RR$ 14,90;7896004006406;
SALGADINHO BATATA RUFFLES 40G;RR$ 8,80;7892840820121;
SALGADINHO NACHO DORITOS PACOTE 45G;RR$ 9,20;7892840820145;
FERMENTO BIOLOGICO FLEISCHMANN 10G;RR$ 2,90;7898409957970;
SUCO ABACAXI MARATA 1L;RR$ 7,50;7898378180768;
SUCO MORANGO NUTRI 1L;RR$ 6,80;7898961490434;
SALGADINHO DE BATATA CREME E CEBOLA PRINGLES TUBO 109G;RR$ 14,90;7896004006239;
CHOCOLATE BEL MORANGUETE JELLY 30G;RR$ 2,80;7896066766287;
